text,cypher
How many models are there in the system?,(m:Model) RETURN COUNT(m) AS NumberOfModels
Who is the author of the model with ID e835e0f3-3c13-4ab8-9b17-a8c5ea8dc788?,(m:Model {model_id: 'e835e0f3-3c13-4ab8-9b17-a8c5ea8dc788'})-[r:USED]-(mc:ModelCard) RETURN mc.author
What framework was used for the model with ID e835e0f3-3c13-4ab8-9b17-a8c5ea8dc788?,(m:Model {model_id: 'e835e0f3-3c13-4ab8-9b17-a8c5ea8dc788'}) RETURN m.framework
Count the number of models created using the UCI Adult Dataset.,(ds:Datasheet {name: 'UCI Adult Dataset'})-[r:TRAINED_ON]-(mc:ModelCard)-[r2:USED]-(m:Model) RETURN COUNT(m) AS NumberOfModelsCreatedUsingUCIAdultDataset
How many models trained on the UCI Adult Dataset have been deployed in chicago-03-city?,(ds:Datasheet {name: 'UCI Adult Dataset'})-[r:TRAINED_ON]-(mc:ModelCard)-[r2:USED]-(m:Model)-[r3:HAS_DEPLOYMENT]-(depl:Deployment)-[r4:DEPLOYED_IN]-(device:EdgeDevice {location: 'chicago-03-city'}) RETURN COUNT(m) AS NumberOfModelsDeployedInChicago
Count the number of deployments that used the UCI Adult Dataset for training.,(d:Datasheet {name: 'UCI Adult Dataset'})-[r:TRAINED_ON]-(mc:ModelCard)-[r2:USED]-(m:Model)-[r3:HAS_DEPLOYMENT]-(depl:Deployment) RETURN COUNT(depl) AS NumberOfDeployments
"Of the models deployed on jetson-nano, how many were trained on the UCI Adult Dataset?",(m:Model)-[:HAS_DEPLOYMENT]-(depl:Deployment)-[:DEPLOYED_IN]-(device:EdgeDevice {device_type: 'jetson-nano'})-[r:USED]-(ds:Datasheet {name: 'UCI Adult Dataset'}) RETURN COUNT(m) AS NumberOfModelsTrainedOnUCIAdultDataset
Calculate the average peak power wattage of deployments on raspberry-pi-3.,(depl:Deployment)-[:DEPLOYED_IN]-(device:EdgeDevice {device_type: 'raspberry-pi-3'}) RETURN AVG(depl.total_cpu_power_consumption + depl.total_gpu_power_consumption) AS average_peak_power_wattage
What is the average number of requests served by all deployments on jetson-nano?,(depl:Deployment)-[r:DEPLOYED_IN]-(device:EdgeDevice {device_type: 'jetson-nano'}) RETURN AVG(depl.total_requests) AS average_requests_served
How many unique device types are present in the database?,(d:EdgeDevice) RETURN COUNT(DISTINCT d.device_type) AS UniqueDeviceTypes
Identify the model with the best fairness metric.,"(mc:ModelCard)-[r:BIAS_ANALYSIS]-(ba:BiasAnalysis) WITH mc, ba ORDER BY ba.equal_odds_difference DESC LIMIT 1 MATCH (mc)-[r2:USED]-(m:Model) RETURN m, mc.external_id"
Which model trained on the UCI Adult Dataset has the lowest demographic parity?,"(ds:Datasheet {name: 'UCI Adult Dataset'})-[r:TRAINED_ON]-(mc:ModelCard)-[r2:BIAS_ANALYSIS]-(ba:BiasAnalysis) RETURN mc.external_id, ba.demographic_parity_diff ORDER BY ba.demographic_parity_diff ASC LIMIT 1"
What are the explainability metrics for model ID 3075715e-bac0-4783-bff9-4d8ea6a5f638?,(m:Model {model_id: '3075715e-bac0-4783-bff9-4d8ea6a5f638'})-[r:USED]-(mc:ModelCard)-[r2:XAI_ANALYSIS]-(ea:ExplainabilityAnalysis) RETURN ea
Which model deployed in SF-zone-02 has the highest fairness score?,(m:Model)-[:HAS_DEPLOYMENT]-(depl:Deployment)-[:DEPLOYED_IN]-(device:EdgeDevice {location: 'SF-zone-02'}) RETURN m ORDER BY m.fairness_score DESC LIMIT 1
"List the top 3 models most similar to the one with ID e835e0f3-3c13-4ab8-9b17-a8c5ea8dc788.""","(m:Model {model_id: 'e835e0f3-3c13-4ab8-9b17-a8c5ea8dc788'})-[r:VERSION_OF]-(mc:ModelCard)-[r2:VERSION_OF]-(similar_mc:ModelCard)-[r3:USED]-(similar_m:Model) RETURN similar_m.model_id AS model_id, similar_m.name AS model_name, similar_m.test_accuracy AS test_accuracy ORDER BY similar_m.test_accuracy DESC LIMIT 3"
What are the 5 models most closely resembling the one with ID e835e0f3-3c13-4ab8-9b17-a8c5ea8dc788?,"(m:Model {model_id: 'e835e0f3-3c13-4ab8-9b17-a8c5ea8dc788'})-[r:VERSION_OF]-(mc:ModelCard)-[r2:VERSION_OF]-(similar_mc:ModelCard)-[r3:USED]-(similar_m:Model) RETURN similar_m.model_id AS model_id, similar_m.name AS name, similar_m.test_accuracy AS test_accuracy, similar_m.model_type AS model_type, similar_m.version AS version LIMIT 5"
Which model has achieved the highest deployment accuracy on jetson-nano?,"(m:Model)-[:HAS_DEPLOYMENT]-(depl:Deployment)-[:DEPLOYED_IN]-(device:EdgeDevice {device_type: 'jetson-nano'}) RETURN m, depl.device_type, depl.average_accuracy, device.location, device.device_id ORDER BY depl.average_accuracy DESC LIMIT 1"
Which model trained on the UCI Adult Dataset dataset has the highest equalized odds score?,"(d:Datasheet {name: 'UCI Adult Dataset'})-[r:TRAINED_ON]-(mc:ModelCard)-[r2:USED]-(m:Model)-[r3:BIAS_ANALYSIS]-(ba:BiasAnalysis) RETURN m, ba.equal_odds_difference ORDER BY ba.equal_odds_difference DESC LIMIT 1"
Identify the model with the lowest fairness metric.,"(m:Model)-[r:USED]-(mc:ModelCard)-[r2:BIAS_ANALYSIS]-(ba:BiasAnalysis) RETURN m.model_id AS model_id, m.name AS model_name, ba.demographic_parity_diff AS fairness_metric ORDER BY ba.demographic_parity_diff ASC LIMIT 1"
Identify the model with the dowest fairness metric.,"(m:Model)-[r:USED]-(mc:ModelCard)-[r2:BIAS_ANALYSIS]-(ba:BiasAnalysis) RETURN m, mc.external_id, ba ORDER BY ba.demographic_parity_diff ASC LIMIT 1"
Identify the model with the dowest ceirness metric., (m:Model) RETURN m ORDER BY m.fairness_metric ASC LIMIT 1
What is the framework was used for model with model ID 888a1c63-2d03-478d-92b9-b371c752306e-model,(m:Model {model_id: '888a1c63-2d03-478d-92b9-b371c752306e-model'}) RETURN m.framework
What is the accuracy of the model with model ID 888a1c63-2d03-478d-92b9-b371c752306e-model?,(m:Model {model_id: '888a1c63-2d03-478d-92b9-b371c752306e-model'}) RETURN m.test_accuracy AS accuracy
